,0
0.1,1.5294075319e-14
0.35,0.00319782901672
0.6,0.129118306333
0.85,0.495996566503
1.1,1.00036903149
1.35,1.51844186311
1.6,1.93015230249
1.85,2.16967946516
2.1,2.24098490028
2.35,2.1875186892
2.6,2.05905068858
2.85,1.89500406846
3.1,1.72119102428
3.35,1.55235470983
3.6,1.39581103633
3.85,1.25442039975
4.1,1.12858973658
4.35,1.01749325957
4.6,0.919769772725
4.85,0.83389964936
5.1,0.758396082457
5.35,0.691892812813
5.6,0.633176260284
5.85,0.581189153973
6.1,0.53502060341
6.35,0.493890635946
6.6,0.457133359788
6.85,0.424180786868
7.1,0.394548204165
7.35,0.36782138178
7.6,0.343645605817
7.85,0.32171638656
8.1,0.301771640945
8.35,0.283585140794
8.6,0.2669610316
8.85,0.251729248462
9.1,0.237741679802
9.35,0.224868952519
9.6,0.212997732912
9.85,0.20202845567
10.1,0.191873408375
10.35,0.182455111712
10.6,0.173704946041
10.85,0.165561983682
11.1,0.157971993353
11.35,0.150886589043
11.6,0.144262500367
11.85,0.138060945375
12.1,0.132247089981
12.35,0.126789580842
12.6,0.12166014066
12.85,0.116833216696
13.1,0.112285674745
13.35,0.107996532062
13.6,0.103946723731
13.85,0.100118897844
14.1,0.0964972355117
14.35,0.0930672923921
14.6,0.0898158588423
14.85,0.0867308362742
15.1,0.0838011276117
15.35,0.0810165400586
15.6,0.0783676986309
15.85,0.0758459691231
16.1,0.0734433893576
16.35,0.071152607722
16.6,0.068966828129
16.85,0.0668797606476
17.1,0.0648855771526
17.35,0.062978871419
17.6,0.0611546231635
17.85,0.0594081655946
18.1,0.0577351560872
18.35,0.0561315496452
18.6,0.0545935748528
18.85,0.0531177120542
19.1,0.0517006735287
19.35,0.0503393854568
19.6,0.0490309714947
19.85,0.0477727377969
20.1,0.0465621593427
20.35,0.045396867439
20.6,0.0442746382858
20.85,0.0431933825026
21.1,0.0421511355245
21.35,0.0411460487872
21.6,0.0401763816279
21.85,0.0392404938357
22.1,0.0383368387942
22.35,0.0374639571625
22.6,0.0366204710466
22.85,0.0358050786193
23.1,0.0350165491489
23.35,0.0342537184016
23.6,0.0335154843868
23.85,0.0328008034154
24.1,0.0321086864462
24.35,0.0314381956949
24.6,0.030788441487
24.85,0.0301585793322
