0,1,2
-9.75,991.375000015,0.0
12.11,993.718750015,65.0
5.14,993.562500015,68.0
5.37,992.687500015,52.0
9.62,994.437500015,56.0
-12.0,994.093750015,65.0
10.25,993.906250015,71.0
-8.81,992.375000015,46.0
-14.21,993.812500015,78.0
-8.75,992.687500015,94.0
18.39,994.093750015,121.0
11.19,993.406250015,67.0
17.18,993.593750015,131.0
-6.81,995.031250015,49.0
-2.39,994.218750015,39.0
-7.73,993.843750015,49.0
-10.4,993.718750015,51.0
-5.63,994.437500015,40.0
-5.38,994.187500015,58.0
-5.61,992.437500015,32.0
-2.87,994.531250015,41.0
-11.48,994.281250015,57.0
-4.75,990.500000015,40.0
13.58,994.343750015,33.0
11.54,993.750000015,76.0
7.75,992.500000015,58.0
-11.08,993.375000015,72.0
-12.13,994.593750015,87.0
19.18,993.843750015,85.0
-0.5,996.062500015,66.0
5.75,993.812500015,96.0
16.31,993.781250015,99.0
-7.39,993.093750015,95.0
25.98,993.093750015,33.0
20.33,993.375000015,68.0
-12.46,994.093750015,125.0
19.37,994.062500015,76.0
-7.6,993.968750015,23.0
-6.14,994.250000015,104.0
16.69,993.843750015,103.0
23.25,993.843750015,65.0
-6.88,993.125000015,40.0
-11.88,992.875000015,48.0
4.48,993.156250015,9.0
23.12,993.750000015,58.0
8.52,993.718750015,31.0
22.1,993.687500015,58.0
9.19,994.187500015,66.0
-12.81,994.468750015,39.0
-6.5,992.593750015,11.0
-12.38,994.687500015,94.0
20.98,993.812500015,72.0
6.48,994.906250015,39.0
23.64,993.718750015,61.0
-13.85,994.156250015,49.0
-14.12,993.250000015,48.0
-11.73,995.000000015,64.0
-16.0,994.062500015,82.0
-12.12,993.593750015,55.0
10.98,994.812500015,110.0
21.02,993.187500015,60.0
-15.83,993.281250015,63.0
-14.81,993.218750015,51.0
-9.21,993.250000015,78.0
-13.87,993.437500015,82.0
-13.83,994.031250015,121.0
-13.96,995.500000015,88.0
-12.4,993.687500015,80.0
25.25,992.156250015,39.0
8.89,992.843750015,67.0
8.36,994.156250015,65.0
-10.94,994.250000015,66.0
-5.0,992.906250015,59.0
3.36,994.031250015,183.0
5.36,994.375000015,84.0
14.15,994.062500015,64.0
6.88,994.281250015,43.0
4.87,994.531250015,33.0
-15.06,993.156250015,109.0
14.81,993.593750015,45.0
19.14,993.187500015,30.0
2.88,995.375000015,52.0
15.39,994.125000015,110.0
4.13,996.125000015,50.0
20.54,993.468750015,61.0
5.66,992.406250015,63.0
-3.63,993.968750015,49.0
5.91,993.937500015,68.0
1.86,992.656250015,89.0
-14.35,993.718750015,51.0
-13.98,994.531250015,51.0
-9.73,995.031250015,65.0
18.27,995.218750015,69.0
-2.86,993.593750015,55.0
-7.61,992.625000015,34.0
-9.64,994.156250015,85.0
17.96,993.750000015,92.0
23.21,993.625000015,50.0
8.11,992.437500015,50.0
-13.19,994.031250015,55.0
34.56,994.031250015,77.0
26.43,993.250000015,78.0
18.79,992.718750015,71.0
20.48,994.250000015,48.0
18.87,994.468750015,79.0
-3.52,994.281250015,9.0
24.66,993.656250015,65.0
11.58,994.812500015,56.0
17.87,993.468750015,83.0
7.11,993.906250015,77.0
7.44,992.656250015,25.0
-4.02,995.375000015,36.0
18.73,995.062500015,84.0
23.14,993.375000015,104.0
-15.81,993.312500015,40.0
4.63,994.437500015,72.0
17.71,992.343750015,33.0
19.87,993.531250015,47.0
12.6,994.531250015,63.0
18.62,994.406250015,65.0
15.16,994.343750015,45.0
2.14,993.750000015,52.0
12.52,993.343750015,53.0
