0,1,2
-100.0,49475.9635322,37785.0
272.0,49452.430024,56617.0
280.0,49451.0224617,54400.0
-96.0,49482.2716072,50480.0
-92.0,49486.5015572,49719.0
252.0,49460.7591866,58891.0
264.0,49457.4429329,57788.0
260.0,49457.4337471,61191.0
236.0,49465.1535958,56177.0
224.0,49468.569825,58166.0
220.0,49469.6947029,58484.0
212.0,49471.8162545,55423.0
200.0,49475.0206002,56211.0
204.0,49473.9851692,55042.0
188.0,49478.1689766,54291.0
168.0,49483.4909676,60450.0
148.0,49488.6268929,63820.0
140.0,49490.5678719,63578.0
-88.0,49489.6551216,45879.0
-84.0,49492.6335152,56671.0
-80.0,49495.0154732,53907.0
-76.0,49497.207856,52959.0
-72.0,49499.139222,50002.0
-68.0,49500.9107979,49971.0
-64.0,49502.4893196,51488.0
128.0,49493.3918465,61260.0
136.0,49491.5144661,62274.0
104.0,49498.6997383,55533.0
-60.0,49503.8286141,50876.0
-56.0,49505.0597237,48367.0
-52.0,49506.1401375,49654.0
-44.0,49507.9458016,49422.0
-48.0,49507.0992745,50851.0
-36.0,49509.3586129,48851.0
-40.0,49508.7035836,49717.0
-32.0,49509.917939,49535.0
-28.0,49510.360688,49959.0
52.0,49507.8782357,58360.0
56.0,49507.3401192,58165.0
36.0,49509.7049263,56239.0
-24.0,49510.7967842,51393.0
-20.0,49511.1190804,51940.0
-8.0,49511.6534432,51286.0
-16.0,49511.3562325,52219.0
-12.0,49511.5227364,51993.0
-4.0,49511.7039498,51133.0
28.0,49510.4052132,52214.0
20.0,49510.9567574,52667.0
8.0,49511.5485543,51441.0
4.0,49511.6495674,51581.0
0.0,49511.6994637,50918.0
12.0,49511.4147652,51521.0
16.0,49511.2157601,51364.0
24.0,49510.6872261,52349.0
32.0,49510.0822457,53967.0
40.0,49509.3052071,57197.0
44.0,49508.8573311,57973.0
48.0,49508.4104927,59461.0
60.0,49506.7214363,56592.0
64.0,49506.1174935,56068.0
68.0,49505.4634102,55517.0
72.0,49504.7995308,56667.0
76.0,49504.1262215,57140.0
80.0,49503.4420174,55928.0
84.0,49502.668763,55008.0
88.0,49501.9537056,55379.0
92.0,49501.1490486,55456.0
96.0,49500.3433541,54715.0
100.0,49499.5123604,55247.0
108.0,49497.8454598,57164.0
112.0,49496.9963387,59000.0
116.0,49496.1084908,57781.0
120.0,49495.2095955,60446.0
124.0,49494.2942818,60981.0
132.0,49492.4863594,64099.0
144.0,49489.5564278,61597.0
152.0,49487.6358956,64965.0
156.0,49486.5831002,59817.0
160.0,49485.5530098,60221.0
164.0,49484.5514534,62364.0
172.0,49482.4383553,60666.0
176.0,49481.4034432,59464.0
180.0,49480.3698738,58094.0
184.0,49479.3001107,55764.0
192.0,49477.1285103,56505.0
196.0,49476.0728463,56529.0
208.0,49472.9047859,55374.0
216.0,49470.7585152,57621.0
228.0,49467.4323433,56365.0
232.0,49466.4131478,55726.0
240.0,49464.0993355,59503.0
244.0,49463.0075997,56585.0
248.0,49461.5449227,58522.0
256.0,49459.677491,58214.0
268.0,49455.7001351,55952.0
276.0,49454.0318001,61384.0
288.0,49450.0732125,59731.0
300.0,49445.3924263,59779.0
