,0
0.1,-200.0
0.35,-199.99999997
0.6,-199.999584757
0.85,-199.978882274
1.1,-199.819712146
1.35,-199.320046373
1.6,-198.385748989
1.85,-197.134889411
2.1,-195.779469313
2.35,-194.475309638
2.6,-193.287397811
2.85,-192.223681101
3.1,-191.269513209
3.35,-190.405502531
3.6,-189.61401826
3.85,-188.880680639
4.1,-188.194151629
4.35,-187.54553662
4.6,-186.927816811
4.85,-186.335405398
5.1,-185.763820441
5.35,-185.209446047
5.6,-184.669355648
5.85,-184.141178052
6.1,-183.622993214
6.35,-183.113249161
6.6,-182.610694507
6.85,-182.114322898
7.1,-181.623326918
7.35,-181.137059695
7.6,-180.655002935
7.85,-180.17674037
8.1,-179.701935802
8.35,-179.230315071
8.6,-178.761651356
8.85,-178.295753294
9.1,-177.832455476
9.35,-177.371610939
9.6,-176.913085305
9.85,-176.456752279
10.1,-176.002490266
10.35,-175.550179875
10.6,-175.099702149
10.85,-174.650937358
11.1,-174.20376424
11.35,-173.758059578
11.6,-173.313698036
11.85,-172.870552192
12.1,-172.428492701
12.35,-171.987388558
12.6,-171.547107428
12.85,-171.107516004
13.1,-170.668480403
13.35,-170.229866548
13.6,-169.791540564
13.85,-169.353369155
14.1,-168.915219963
14.35,-168.47696192
14.6,-168.038465573
14.85,-167.599603386
15.1,-167.160250034
15.35,-166.720282664
15.6,-166.279581146
15.85,-165.838028302
16.1,-165.395510119
16.35,-164.951915943
16.6,-164.507138663
16.85,-164.061074873
17.1,-163.613625024
17.35,-163.164693564
17.6,-162.714189056
17.85,-162.262024293
18.1,-161.808116398
18.35,-161.352386903
18.6,-160.894761832
18.85,-160.435171757
19.1,-159.973551852
19.35,-159.509841929
19.6,-159.043986472
19.85,-158.575934647
20.1,-158.105640315
20.35,-157.633062025
20.6,-157.158163003
20.85,-156.680911122
21.1,-156.201278876
21.35,-155.719243331
21.6,-155.23478608
21.85,-154.747893175
22.1,-154.258555066
22.35,-153.76676652
22.6,-153.272526541
22.85,-152.775838279
23.1,-152.27670893
23.35,-151.775149641
23.6,-151.271175396
23.85,-150.764804906
24.1,-150.256060492
24.35,-149.74496796
24.6,-149.231556485
24.85,-148.715858472
