0,1,2
-162.0,19286.0028766,19414.0
-154.0,19290.3528483,15429.0
-150.0,19291.0674403,13969.0
-146.0,19294.1092074,16994.0
-134.0,19299.3854716,20955.0
-142.0,19295.4879344,20347.0
-138.0,19297.7328647,20166.0
-130.0,19301.282532,19852.0
-122.0,19304.7081187,21473.0
-126.0,19302.9553187,21165.0
-118.0,19306.4030383,26920.0
-114.0,19308.0965159,23877.0
-110.0,19309.7534221,27255.0
-106.0,19311.4144824,30268.0
-102.0,19313.0474971,31873.0
-98.0,19314.6968387,37318.0
86.0,19319.4732783,36113.0
-94.0,19316.3065532,39203.0
-90.0,19317.9432147,38146.0
-86.0,19319.5396693,38885.0
-82.0,19321.0704959,39090.0
-78.0,19322.5746577,42945.0
-74.0,19324.0804866,41001.0
-70.0,19325.5264247,38209.0
-66.0,19326.9119838,39627.0
-62.0,19328.2600787,38554.0
-58.0,19329.5406459,40687.0
-46.0,19332.9680255,40100.0
-54.0,19330.7688678,41200.0
-50.0,19331.8996547,41037.0
-42.0,19333.9772456,39065.0
-38.0,19334.8907741,38579.0
38.0,19334.9433215,33828.0
46.0,19333.0029567,37523.0
-30.0,19336.4920886,37408.0
-34.0,19335.7395442,39185.0
-26.0,19337.1604693,38614.0
-22.0,19337.7375796,37930.0
-10.0,19338.9450534,39700.0
-18.0,19338.2332614,37824.0
-14.0,19338.6515658,38578.0
-6.0,19339.158459,39721.0
-2.0,19339.2662967,40270.0
2.0,19339.2670711,40591.0
6.0,19339.1780818,40751.0
10.0,19338.9834521,40526.0
14.0,19338.6841166,39065.0
18.0,19338.2712214,38077.0
22.0,19337.7697986,38504.0
26.0,19337.1955302,36775.0
30.0,19336.5333674,35535.0
34.0,19335.7702792,35102.0
42.0,19334.0165523,35449.0
50.0,19331.9604075,35597.0
54.0,19330.8102038,34622.0
58.0,19329.6011317,34587.0
62.0,19328.3361285,34792.0
66.0,19326.9864009,37617.0
70.0,19325.5836413,37244.0
74.0,19324.1243289,34544.0
78.0,19322.6273387,34269.0
82.0,19321.0548633,33786.0
90.0,19317.8223613,39727.0
94.0,19316.1180957,39040.0
98.0,19314.3531421,36160.0
102.0,19312.528889,30839.0
106.0,19310.5751727,36388.0
110.0,19308.5461772,37289.0
114.0,19306.3834117,35739.0
118.0,19304.1418536,32438.0
122.0,19301.5885776,30276.0
126.0,19298.9979251,29374.0
