0,1,2
-25.0,1727.61871054,0.0
-21.0,1731.01938632,0.0
47.0,1725.7728739,0.0
43.0,1727.42435172,0.0
23.0,1732.02578166,0.0
-13.0,1733.94009497,0.0
-17.0,1732.81125071,0.0
-9.0,1734.66438201,0.0
15.0,1733.56116679,0.0
11.0,1734.07937243,0.0
-5.0,1734.98917105,0.0
-1.0,1735.04970458,0.0
3.0,1734.85271552,0.0
7.0,1734.56821253,0.0
19.0,1732.81720641,0.0
27.0,1731.0630646,0.0
31.0,1730.1199961,0.0
35.0,1729.0947304,0.0
39.0,1728.11718276,0.0
51.0,1725.70740798,0.0
55.0,1724.42805579,0.0
63.0,1723.32337096,0.0
75.0,1720.07269099,0.0
