0,1,2
-49.0,4842.59847648,360470.0
127.0,4833.45442016,419973.0
119.0,4834.85958488,410692.0
107.0,4838.92559631,411799.0
-45.0,4847.67961891,368862.0
-41.0,4850.76901252,384254.0
103.0,4840.40788658,401256.0
83.0,4845.32218749,407341.0
79.0,4846.321539,411259.0
63.0,4850.26259811,401219.0
39.0,4855.43599517,400607.0
-37.0,4853.0823365,395472.0
-33.0,4854.87584884,406187.0
-29.0,4856.26363761,409050.0
19.0,4858.44116981,418192.0
-25.0,4857.36244972,418440.0
-21.0,4858.18713577,428109.0
-1.0,4859.72244461,423357.0
-5.0,4859.69846351,420748.0
-13.0,4859.26528175,423426.0
-17.0,4858.81961448,423086.0
-9.0,4859.54547698,425177.0
3.0,4859.64716728,421598.0
7.0,4859.47461898,422631.0
11.0,4859.21196945,416061.0
15.0,4858.86170776,415593.0
23.0,4857.9496022,412043.0
27.0,4857.4035054,409791.0
31.0,4856.80120285,409845.0
35.0,4856.14885528,408339.0
43.0,4854.66915519,399716.0
47.0,4853.86252029,398479.0
51.0,4853.02053077,403466.0
55.0,4852.13385017,400522.0
59.0,4851.21282012,399815.0
67.0,4849.29774864,410272.0
71.0,4848.32114799,407288.0
75.0,4847.3065377,407454.0
87.0,4844.30759437,396714.0
91.0,4843.34405906,409052.0
95.0,4842.28135307,405564.0
99.0,4841.23898513,404971.0
111.0,4838.31582267,407290.0
115.0,4837.25716026,409500.0
123.0,4835.50017173,409158.0
135.0,4832.35043151,426557.0
147.0,4828.45713241,429305.0
