0,1,2
80.0,2990.1747847,0.0
72.0,2993.13691048,0.0
64.0,2995.14307503,0.0
-36.0,2995.93475537,0.0
36.0,3001.73532204,0.0
28.0,3003.3363419,0.0
20.0,3004.67489056,0.0
16.0,3005.22210602,0.0
-32.0,2998.93315034,0.0
-28.0,3001.35918622,0.0
-24.0,3003.15410618,0.0
-20.0,3004.46880536,0.0
-16.0,3005.34528927,0.0
-12.0,3005.93695168,0.0
-8.0,3006.29071717,0.0
8.0,3006.05767827,0.0
4.0,3006.32538037,0.0
-4.0,3006.45187955,0.0
-0.0,3006.45873456,0.0
12.0,3005.69441991,0.0
24.0,3004.0407887,0.0
32.0,3002.56310277,0.0
40.0,3000.8378983,0.0
44.0,2999.92889123,0.0
48.0,2998.94992642,0.0
52.0,2997.98441415,0.0
56.0,2996.99996857,0.0
60.0,2995.99152951,0.0
68.0,2993.9521914,0.0
76.0,2992.28380589,0.0
84.0,2990.53905682,0.0
88.0,2988.81550889,0.0
96.0,2987.72067551,0.0
108.0,2984.18210988,0.0
