0,1,2
-81.0,15328.0641329,115670.0
-77.0,15332.3744967,132734.0
215.0,15308.5924151,132625.0
199.0,15315.1494219,141009.0
195.0,15316.193413,148133.0
-73.0,15335.7419665,124961.0
171.0,15322.6946261,149642.0
167.0,15323.7649081,152390.0
151.0,15327.9780352,161305.0
143.0,15330.0322726,159936.0
155.0,15326.9299929,157538.0
-65.0,15341.2794421,129215.0
-69.0,15338.6995394,128096.0
-61.0,15343.5626757,134821.0
127.0,15334.187897,168228.0
123.0,15335.1908724,166832.0
115.0,15337.2115099,173857.0
107.0,15339.1425631,171678.0
83.0,15344.584862,166231.0
-57.0,15345.4886935,140246.0
-53.0,15347.0976565,138728.0
-49.0,15348.5338366,145495.0
-45.0,15349.7421954,147065.0
-41.0,15350.8199313,149374.0
-37.0,15351.7201464,150589.0
59.0,15349.1244204,158790.0
67.0,15347.7262423,161894.0
43.0,15351.6042101,158725.0
23.0,15353.8574068,158450.0
-33.0,15352.4986269,153216.0
-25.0,15353.6973498,155631.0
-29.0,15353.145035,151880.0
-21.0,15354.1433947,155141.0
-17.0,15354.490082,157082.0
3.0,15354.9679949,160259.0
7.0,15354.8451311,160751.0
-9.0,15354.8954775,157450.0
-13.0,15354.733269,158343.0
-5.0,15354.9743273,159009.0
-1.0,15355.0054171,160852.0
11.0,15354.6744845,159296.0
15.0,15354.4587099,158534.0
19.0,15354.1819842,159945.0
27.0,15353.4795,161565.0
31.0,15353.0726168,159618.0
35.0,15352.6118853,158077.0
39.0,15352.1296923,158209.0
47.0,15351.0569842,157075.0
51.0,15350.4315112,159875.0
55.0,15349.7945559,159496.0
63.0,15348.4386599,162486.0
71.0,15346.9924014,164044.0
75.0,15346.2072527,161847.0
79.0,15345.3928912,162415.0
87.0,15343.7243502,165426.0
91.0,15342.8611681,170087.0
95.0,15341.9574435,170774.0
99.0,15341.047867,172128.0
103.0,15340.0904086,170796.0
111.0,15338.1776736,170008.0
119.0,15336.199837,166999.0
131.0,15333.1503374,165113.0
135.0,15332.1091998,165489.0
139.0,15331.069649,164155.0
147.0,15329.0069201,156781.0
159.0,15325.8808825,154335.0
163.0,15324.853966,151179.0
175.0,15321.683388,153683.0
179.0,15320.5598223,142537.0
183.0,15319.408272,148453.0
187.0,15318.485985,143633.0
191.0,15317.0737612,142114.0
203.0,15313.2255404,139958.0
207.0,15312.9726946,140641.0
211.0,15311.5257418,140140.0
219.0,15309.7378161,144709.0
223.0,15307.1803515,136547.0
231.0,15306.0961382,146401.0
243.0,15301.7853472,141561.0
