0,1,2
164.0,35765.1185308,0.0
-200.0,35747.5936284,0.0
-184.0,35755.9359441,635.0
-192.0,35752.0177922,425.0
-188.0,35752.8306279,176.0
-180.0,35757.3566594,413.0
-172.0,35761.4188542,431.0
-176.0,35759.7807317,985.0
-168.0,35763.4706121,511.0
-160.0,35766.9734197,251.0
-164.0,35765.2029119,769.0
-156.0,35768.5674749,93.0
-152.0,35770.403687,206.0
-148.0,35772.0704656,51.0
-144.0,35773.8042302,51.0
116.0,35785.5664678,0.0
-140.0,35775.5570073,2.0
-136.0,35777.2843328,1.0
-128.0,35780.605042,0.0
-132.0,35778.9827886,0.0
-124.0,35782.1784673,0.0
-112.0,35787.1888433,0.0
-120.0,35783.9220586,0.0
-116.0,35785.4763189,0.0
-108.0,35788.8269658,0.0
-104.0,35790.4017949,0.0
-100.0,35792.0025029,0.0
-96.0,35793.5141607,0.0
-92.0,35794.9754644,0.0
-88.0,35796.4202275,0.0
-84.0,35797.844544,0.0
92.0,35794.7652593,0.0
80.0,35798.9650884,0.0
-80.0,35799.2382207,0.0
-76.0,35800.5360112,0.0
68.0,35802.7879033,0.0
-72.0,35801.8506475,0.0
-68.0,35803.0618901,0.0
-64.0,35804.2564702,0.0
-60.0,35805.3280034,0.0
-56.0,35806.4064336,0.0
-52.0,35807.3692022,0.0
-48.0,35808.3067632,0.0
-44.0,35809.1633306,0.0
-40.0,35809.9929204,0.0
-36.0,35810.7209478,0.0
-32.0,35811.3924566,0.0
-28.0,35811.9412236,0.0
-24.0,35812.4646611,0.0
-20.0,35812.8757329,0.0
-12.0,35813.5302739,0.0
-0.0,35813.9367681,0.0
-16.0,35813.2749028,0.0
-8.0,35813.7272344,0.0
-4.0,35813.8581548,0.0
4.0,35813.8942876,0.0
8.0,35813.7644048,0.0
12.0,35813.5931401,0.0
16.0,35813.254395,0.0
20.0,35812.8466802,0.0
24.0,35812.4091802,0.0
28.0,35811.8557744,0.0
32.0,35811.2407232,0.0
36.0,35810.6656499,0.0
40.0,35809.955811,0.0
44.0,35809.1019292,0.0
48.0,35808.191895,0.0
52.0,35807.2323613,0.0
56.0,35806.2314458,0.0
60.0,35805.1195073,0.0
64.0,35803.9949346,0.0
72.0,35801.5788579,0.0
76.0,35800.2713018,0.0
84.0,35797.6274419,0.0
88.0,35796.1472173,0.0
96.0,35793.296021,0.0
100.0,35791.8219609,0.0
104.0,35790.2620855,0.0
108.0,35788.7291265,0.0
112.0,35787.155457,0.0
120.0,35783.8881841,0.0
124.0,35782.1873784,0.0
128.0,35780.5212407,0.0
132.0,35778.8735967,0.0
136.0,35777.1444097,0.0
140.0,35775.3680425,0.0
144.0,35773.7313237,0.0
148.0,35772.0250859,0.0
152.0,35770.3200078,0.0
156.0,35768.5914311,0.0
160.0,35766.9027104,0.0
168.0,35763.3037114,0.0
172.0,35761.3388677,0.0
176.0,35759.7163091,0.0
180.0,35757.3188481,0.0
184.0,35756.1219487,0.0
188.0,35752.9937139,0.0
192.0,35752.2709966,0.0
200.0,35747.7194219,0.0
