,0
0.1,4.0
0.35,4.00009792552
0.6,4.01151206953
0.85,4.08434221319
1.1,4.26266465385
1.35,4.56524274869
1.6,4.99836932477
1.85,5.56046508047
2.1,6.24389581329
2.35,7.03696941937
2.6,7.92584181498
2.85,8.89598985847
3.1,9.93320492797
3.35,11.0241931085
3.6,12.1568913594
3.85,13.3205933506
4.1,14.5059551057
4.35,15.7049295565
4.6,16.9106629334
4.85,18.1173742761
5.1,19.3202313082
5.35,20.5152305113
5.6,21.6990856885
5.85,22.8691270429
6.1,24.0232113888
6.35,25.1596432807
6.6,26.2771063769
6.85,27.374604128
7.1,28.4514087939
7.35,29.5070178013
7.6,30.5411165023
7.85,31.5535464781
8.1,32.5442786164
8.35,33.5133902845
8.6,34.4610460043
8.85,35.3874811139
9.1,36.2929879735
9.35,37.177904335
9.6,38.0426035494
9.85,38.8874863364
10.1,39.7129738772
10.35,40.5195020319
10.6,41.3075165093
10.85,42.0774688447
11.1,42.8298130618
11.35,43.5650029142
11.6,44.2834896187
11.85,44.9857200029
12.1,45.672135005
12.35,46.3431684702
12.6,46.999246198
12.85,47.6407852003
13.1,48.2681931382
13.35,48.8818679077
13.6,49.4821973511
13.85,50.0695590731
14.1,50.6443203444
14.35,51.2068380777
14.6,51.7574588634
14.85,52.2965190553
15.1,52.8243448952
15.35,53.341252671
15.6,53.8475489003
15.85,54.3435305336
16.1,54.8294851744
16.35,55.30569131
16.6,55.7724185509
16.85,56.2299278764
17.1,56.6784718823
17.35,57.1182950309
17.6,57.5496339002
17.85,57.9727174315
18.1,58.3877671743
18.35,58.7949975277
18.6,59.1946159771
18.85,59.5868233267
19.1,59.9718139253
19.35,60.3497758881
19.6,60.7208913115
19.85,61.0853364817
20.1,61.4432820781
20.35,61.7948933693
20.6,62.1403304035
20.85,62.4797481927
21.1,62.8132968905
21.35,63.1411219637
21.6,63.4633643584
21.85,63.7801606598
22.1,64.0916432467
22.35,64.3979404399
22.6,64.6991766455
22.85,64.9954724932
23.1,65.2869449691
23.35,65.5737075432
23.6,65.8558702933
23.85,66.1335400231
24.1,66.4068203762
24.35,66.6758119462
24.6,66.9406123822
24.85,67.2013164904
